 kullanilabilirAlan ,odaSayisi,binaYasi,bulunduguKat,katSayisi,banyo,esya,siteAdi,aidat,fiyat
145,4,24,4,4,1,Hayir,,0,355000
170,4,0,5,6,1,Hayir,,160,1120000
185,5,0,1,9,2,Hayir,,,1300000
200,5,14,1,6,,Hayir,,,729000
140,4,0,1,5,,Hayir,,,760000
130,4,9,4,7,1,Hayir,Cat Yolu Toki Evleri,,650000
140,4,0,5,8,2,Hayir,,,709000
190,5,0,1,6,2,Hayir,,,1800000
165,4,9,1,7,2,Hayir,,,660000
145,4,4,6,9,2,Hayir,Mal Meydanı Toki,,
155,4,0,1,5,2,Hayir,,,770000
120,3,24,2,3,1,Hayir,,,465000
150,4,3,4,5,2,Hayir,,,360000
205,5,0,1,7,2,Hayir,,0,1350000
110,3,9,2,4,1,Hayir,,,765000
